title,author,isbn,goodreads_id,goodreads_shelf,status,owned,rating,page_count,published_year,goodreads_date_read,publisher
"All That Remains: A Renowned Forensic Scientist on Death, Mortality, and Solving Crimes",Sue Black DBE FRSE,9781948924290,41596657,to-buy,wishlist,false,,321,2019,,Arcade
American Predator: The Hunt for the Most Meticulous Serial Killer of the 21st Century,Maureen Callahan,9780525428640,43231095,to-buy,wishlist,false,,285,2019,,Viking
A Mother's Reckoning: Living in the Aftermath of Tragedy,Sue Klebold,9781101902769,25937671,to-buy,wishlist,false,,336,2016,,Crown
Nothing to Envy: Ordinary Lives in North Korea,Barbara Demick,,40604846,to-buy,wishlist,false,,338,2009,,Spiegel & Grau
The Devil at His Elbow: Alex Murdaugh and the Fall of a Southern Dynasty,Valerie Bauerlein,9780593500583,210454076,to-buy,wishlist,false,,480,2024,,Ballantine Books
Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,9780385545686,43868109,to-buy,wishlist,false,,535,2021,,Doubleday
Just Mercy,Bryan Stevenson,,20342617,to-buy,wishlist,false,,336,2014,,One World
The Only Plane in the Sky: An Oral History of 9/11,Garrett M. Graff,,43821581,to-buy,wishlist,false,,513,2019,,Simon & Schuster Audio
The Girl Bandits of the Warsaw Ghetto: The True Story of Five Courageous Young Women Who Sparked an Uprising – The Holocaust Biography of Female Resistance Leaders,Elizabeth Hyman,9780063355019,223614387,to-buy,wishlist,false,,352,2025,,Harper Perennial
Notes to John,Joan Didion,9780593803677,223889073,to-buy,wishlist,false,,224,2025,,Knopf
The Best We Could Hope For,Nicola Kraus,9781662522635,202644784,to-buy,wishlist,false,,260,2025,,Little A
Alias Grace,Margaret Atwood,9780385475716,72579,to-buy,wishlist,false,,468,1996,,Doubleday Nan A. Talese
"Code Name Verity (Code Name Verity, #1)",Elizabeth Wein,9781405258210,11925514,to-buy,wishlist,false,,448,2012,,Egmont Press
One Flew Over the Cuckoo's Nest,Ken Kesey,9780670023233,12697427,to-buy,wishlist,false,,277,2012,,Viking
The Unworthy,Agustina Bazterrica,9781668051887,214151601,to-buy,wishlist,false,,192,2025,,Scribner
A Lesson Before Dying,Ernest J. Gaines,9780375702709,5197,to-buy,wishlist,false,,256,1993,,Vintage
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,9780553279375,13214,to-buy,wishlist,false,,289,1993,,Bantam Books
Tender Is the Flesh,Agustina Bazterrica,,49090884,to-buy,wishlist,false,,209,2020,,Scribner
"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,9780446675505,52397,to-buy,wishlist,false,,368,2000,,Grand Central Publishing
"Cutter's official guide to Hot Springs, Arkansas (1917)",John Milton Cutter,9780896460577,15310565,read,read,true,3,52,1997,2025/05/21,VISTABOOKS
A Stolen Life,Jaycee Dugard,9781451629187,11330361,read,read,true,5,273,2011,2025/05/09,Simon & Schuster
An Astronaut's Guide to Life on Earth,Chris Hadfield,9780316253017,18170143,to-buy,wishlist,false,,295,2013,,"Little, Brown and Company"
Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,Mary L. Trump,9781982141486,54114950,to-buy,wishlist,false,,236,2020,,Simon & Schuster
Becoming,Michelle Obama,9781524763138,38746485,to-buy,wishlist,false,,448,2018,,Crown
Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,9780330419123,10847,to-buy,wishlist,false,,432,2004,,Pan MacMillan
