title,author,genre,subgenre,isbn,page_count,rating,status,owned,synopsis,date_added
Countdown 1945,Chris Wallace,History,World War II,9781982160555,,,unread,true,"From Chris Wallace, the veteran journalist and anchor of Fox News Sunday, comes an electrifying behind-the-scenes account of the secret meetings and events across the globe during the 116 days leading up to the worldâ€™s first use of the atomic bomb in wartimeâ€”the American attack on Hiroshima on August 6, 1945. April 12, 1945: After years of bloody conflict in Europe and the Pacific, America is stunned by news of President Franklin D. Rooseveltâ€™s death. Countdown 1945 tells the gripping true",2026-02-15
Courage Has No Color: The True Story Of The Triple Nickles,Tanya Lee Stone,History,,9780545622943,,,unread,true,,2025-06-30
"Court Of Thorns And Roses: Book 1, A",Sarah J. Maas,Fantasy,Romance,9781635575569,448,,unread,true,"When nineteen-year-old huntress Feyre kills a wolf in the woods, a terrifying creature arrives to demand retribution. Dragged to a treacherous magical land she knows about only from legends, Feyre discovers that her captor is not truly a beast, but one of the lethal, immortal faeries who once ruled her world.

At least, heâ€™s not a beast all the time.

As she adapts to her new home, her feelings for the faerie, Tamlin, transform from icy hostility into a fiery passion that burns through every l",2024-09-23
Crime and Punishment,Fyodor Dostoevsky,Adventure,,9780451527233,539,,unread,true,"Translated by David McDuff.
A desperate young man plans the perfect crime -- the murder of a despicable pawnbroker, an old women no one loves and no one will mourn. 

Is it not just, he reasons, for a man of genius to commit such a crime, to transgress moral law -- if it will ultimately benefit humanity? 

Raskolnikov, an impoverished student living in a garret in the gloomy slums of St. Petersburg, carries out his grotesque scheme and plunges into a hell of persecution, madness and terror.",2024-09-23
Cults And New Faiths,John Butterworth,,,,,,unread,true,,2025-06-30
D&D 5E: Journeys Through the Radiant Citadel,Wizards Rpg Team,Adventure,,9780786967995,222,,unread,true,"An anthology of thirteen stand-alone adventures set in wondrous lands for the worldâ€™s greatest roleplaying game. Journeys through the Radiant Citadel is a collection of thirteen short, stand-alone D&D adventures featuring challenges for character levels 1â€“14. Each adventure has ties to the Radiant Citadel, a magical city with connections to lands rich with excitement and danger, and each can be run by itself or as part of an ongoing campaign. Explore this rich and varied collection of advent",2025-03-29
Daisy Jones & the Six,Taylor Jenkins Reed,Historical Fiction,BOTM,9781524798628,368,,unread,true,"Daisy is a girl coming of age in L.A. in the late sixties, sneaking into clubs on the Sunset Strip, sleeping with rock stars, and dreaming of singing at the Whisky a Go-Go. The sex and drugs are thrilling, but itâ€™s the rock and roll she loves most. By the time sheâ€™s 20, her voice is getting noticed, and she has the kind of heedless beauty that makes people do crazy things. 

Another band getting noticed is The Six, led by the brooding Billy Dunne. On the eve of their first tour, his girlfrie",2024-10-25
Dark Sky Rising: Reconstruction and the Dawn of Jim Crow,Henry Louis Jr. Gates,History,,9781338541045,,,unread,true,,2025-06-30
Dark World,Zak Bagans,Reference,,9781628602548,272,,unread,true,Take a walk into the shadows with zak bagans the lead investigator of ghost adventures,2024-10-25
Dead Poets Society,N.H. Kleinbaum,Drama,,9780553282986,166,,unread,true,"Todd Anderson and his friends at Welton Academy can hardly believe how different life is since their new English professor, the flamboyant John Keating, has challenged them to â€make your lives extraordinary! â€ Inspired by Keating, the boys resurrect the Dead Poets Society--a secret club where, free from the constraints and expectations of school and parents, they let their passions run wild. As Keating turns the boys on to the great words of Byron, Shelley, and Keats, they discover not only ",2026-03-03
Dead Poets Society,N. H. Kleinbaum,Film,,9781401308773,166,,unread,true,,2026-03-11
Death Dealer: The Memoirs Of The SS Kommandant At Auschwitz,Rudolph HÃ¶ss,Memoir,,9780306806988,390,,unread,true,"This edition includes rare photos, the minutes of the Wannsee Conference (where the Final Solution was decided and coordinated), original diagrams of the camps, ...",2025-01-06
